sentence,sentiment,clean_text
"The suspense builders were good, & just cross the line from G to PG.  ",,the suspense builders were good  just cross the line from g to pg
"I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.  ",,i especially liked the noncliche choices with the parents in other movies i could predict the dialog verbatim but the writing in this movie made better selections
"If you want a movie that's not gross but gives you some chills, this is a great choice.  ",,if you want a movie thats not gross but gives you some chills this is a great choice
Alexander Nevsky is a great film.  ,,alexander nevsky is a great film
"He is an amazing film artist, one of the most important whoever lived.  ",,he is an amazing film artist one of the most important whoever lived
"I'm glad this pretentious piece of s*** didn't do as planned by the Dodge stratus Big Shots... It's gonna help movie makers who aren't in the very restrained ""movie business"" of Québec.  ",,im glad this pretentious piece of s didnt do as planned by the dodge stratus big shots its gonna help movie makers who arent in the very restrained movie business of qubec
This if the first movie I've given a 10 to in years.  ,,this if the first movie ive given a  to in years
"If there was ever a movie that needed word-of-mouth to promote, this is it.  ",,if there was ever a movie that needed wordofmouth to promote this is it
"Overall, the film is interesting and thought-provoking.  ",,overall the film is interesting and thoughtprovoking
"Plus, it was well-paced and suited its relatively short run time.  ",,plus it was wellpaced and suited its relatively short run time
Give this one a look.  ,,give this one a look
I gave it a 10  ,,i gave it a
The Wind and the Lion is well written and superbly acted.  ,,the wind and the lion is well written and superbly acted
It is a true classic.  ,,it is a true classic
It actually turned out to be pretty decent as far as B-list horror/suspense films go.  ,,it actually turned out to be pretty decent as far as blist horrorsuspense films go
Definitely worth checking out.  ,,definitely worth checking out
The problem was the script.  ,,the problem was the script
It was horrendous.  ,,it was horrendous
There was NOTHING believable about it at all.  ,,there was nothing believable about it at all
The only suspense I was feeling was the frustration at just how retarded the girls were.  ,,the only suspense i was feeling was the frustration at just how retarded the girls were
MANNA FROM HEAVEN is a terrific film that is both predictable and unpredictable at the same time.  ,,manna from heaven is a terrific film that is both predictable and unpredictable at the same time
The scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going.  ,,the scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going
The cast of veteran actors are more than just a nostalgia trip.  ,,the cast of veteran actors are more than just a nostalgia trip
Ursula Burton's portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church.  ,,ursula burtons portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church
"If you are looking for a movie with a terrific cast, some good music(including a Shirley Jones rendition of ""The Way You Look Tonight""), and an uplifting ending, give this one a try.  ",,if you are looking for a movie with a terrific cast some good musicincluding a shirley jones rendition of the way you look tonight and an uplifting ending give this one a try
I don't think you will be disappointed.  ,,i dont think you will be disappointed
"Frankly, after Cotton club and Unfaithful, it was kind of embarrassing to watch Lane and Gere in this film, because it is BAD.  ",,frankly after cotton club and unfaithful it was kind of embarrassing to watch lane and gere in this film because it is bad
"The acting was bad, the dialogs were extremely shallow and insincere.  ",,the acting was bad the dialogs were extremely shallow and insincere
"It was too predictable, even for a chick flick.  ",,it was too predictable even for a chick flick
Too politically correct.  ,,too politically correct
Very disappointing.  ,,very disappointing
"The only thing really worth watching was the scenery and the house, because it is beautiful.  ",,the only thing really worth watching was the scenery and the house because it is beautiful
"I love Lane, but I've never seen her in a movie this lousy.  ",,i love lane but ive never seen her in a movie this lousy
An hour and a half I wish I could bring back.  ,,an hour and a half i wish i could bring back
But in terms of the writing it's very fresh and bold.  ,,but in terms of the writing its very fresh and bold
"The acting helps the writing along very well (maybe the idiot-savant sister could have been played better), and it is a real joy to watch.  ",,the acting helps the writing along very well maybe the idiotsavant sister could have been played better and it is a real joy to watch
The directing and the cinematography aren't quite as good.  ,,the directing and the cinematography arent quite as good
"The movie was so boring, that I sometimes found myself occupied peaking in the paper instead of watching (never happened during a Columbo movie before!  ",,the movie was so boring that i sometimes found myself occupied peaking in the paper instead of watching never happened during a columbo movie before
"), and sometimes it was so embarrassing that I had to look away.  ",,and sometimes it was so embarrassing that i had to look away
The directing seems too pretentious.  ,,the directing seems too pretentious
"The scenes with the ""oh-so-mature"" neighbour-girl are a misplace.  ",,the scenes with the ohsomature neighbourgirl are a misplace
And generally the lines and plot is weaker than the average episode.  ,,and generally the lines and plot is weaker than the average episode
"Then scene where they debated whether or not to sack the trumpeter (who falsely was accused for the murder) is pure horror, really stupid.  ",,then scene where they debated whether or not to sack the trumpeter who falsely was accused for the murder is pure horror really stupid
"Some applause should be given to the ""prelude"" however.  ",,some applause should be given to the prelude however
I really liked that.  ,,i really liked that
A great film by a great director.  ,,a great film by a great director
The movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night.  ,,the movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night
The music in the film is really nice too.  ,,the music in the film is really nice too
I'd advise anyone to go and see it.  ,,id advise anyone to go and see it
Brilliant!  ,,brilliant
10-Oct,,oct
I liked this movie way too much.  ,,i liked this movie way too much
My only problem is I thought the actor playing the villain was a low rent Michael Ironside.  ,,my only problem is i thought the actor playing the villain was a low rent michael ironside
It rocked my world and is certainly a must see for anyone with no social or physical outlets.  ,,it rocked my world and is certainly a must see for anyone with no social or physical outlets
"However, this didn't make up for the fact that overall, this was a tremendously boring movie.  ",,however this didnt make up for the fact that overall this was a tremendously boring movie
"There was NO chemistry between Ben Affleck and Sandra Bullock in this film, and I couldn't understand why he would consider even leaving his wife-to-be for this chick that he supposedly was knocked out by.  ",,there was no chemistry between ben affleck and sandra bullock in this film and i couldnt understand why he would consider even leaving his wifetobe for this chick that he supposedly was knocked out by
There were several moments in the movie that just didn't need to be there and were excruciatingly slow moving.  ,,there were several moments in the movie that just didnt need to be there and were excruciatingly slow moving
"This was a poor remake of ""My Best Friends Wedding"".  ",,this was a poor remake of my best friends wedding
"All in all, a great disappointment.  ",,all in all a great disappointment
"I cannot believe that the actors agreed to do this ""film"".  ",,i cannot believe that the actors agreed to do this film
I could not stand to even watch it for very long for fear of losing I.Q.  ,,i could not stand to even watch it for very long for fear of losing iq
I guess that nobody at the network that aired this dribble watched it before putting it on.  ,,i guess that nobody at the network that aired this dribble watched it before putting it on
"IMDB ratings only go as low 1 for awful, it's time to get some negative numbers in there for cases such as these.  ",,imdb ratings only go as low  for awful its time to get some negative numbers in there for cases such as these
"I saw ""Mirrormask"" last night and it was an unsatisfactory experience.  ",,i saw mirrormask last night and it was an unsatisfactory experience
"Unfortunately, inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict.  ",,unfortunately inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict
"These are the central themes of the film and they are handled ineptly, stereotypically and with no depth of imagination.  ",,these are the central themes of the film and they are handled ineptly stereotypically and with no depth of imagination
All the pretty pictures in the world cannot make up for a piece of work that is flawed at the core.  ,,all the pretty pictures in the world cannot make up for a piece of work that is flawed at the core
"It is an hour and half waste of time, following a bunch of very pretty high schoolers whine and cry about life.  ",,it is an hour and half waste of time following a bunch of very pretty high schoolers whine and cry about life
"You can't relate with them, hell you barely can understand them.  ",,you cant relate with them hell you barely can understand them
This is definitely a cult classic well worth viewing and sharing with others.  ,,this is definitely a cult classic well worth viewing and sharing with others
"This movie is a pure disaster, the story is stupid and the editing is the worst I have seen, it confuses you incredibly.  ",,this movie is a pure disaster the story is stupid and the editing is the worst i have seen it confuses you incredibly
The fish is badly made and some of its underwater shots are repeated a thousand times in the film.  ,,the fish is badly made and some of its underwater shots are repeated a thousand times in the film
"A truly, truly bad film.  ",,a truly truly bad film
"The acting is terrible, and the writing is worse.  ",,the acting is terrible and the writing is worse
The only possible way this movie could be redeemed would be as MST3K fodder.  ,,the only possible way this movie could be redeemed would be as mstk fodder
I paid too much.  ,,i paid too much
"Also, it's a real treat to see Anthony Quinn playing Crazy Horse.  ",,also its a real treat to see anthony quinn playing crazy horse
It was so BORING!  ,,it was so boring
No plot whatsoever!  ,,no plot whatsoever
"Again, no plot at all.  ",,again no plot at all
Horrible!  ,,horrible
Worst hour and a half of my life!Oh my gosh!  ,,worst hour and a half of my lifeoh my gosh
I had to walk out of the theatre for a few minutes just to get some relief!  ,,i had to walk out of the theatre for a few minutes just to get some relief
I hate movies like that.  ,,i hate movies like that
"Yeah, the movie pretty much sucked.  ",,yeah the movie pretty much sucked
THERE IS NO PLOT OR STORYLINE!!  ,,there is no plot or storyline
"If you do go see this movie, bring a pillow or a girlfriend/boyfriend to keep you occupied through out.  ",,if you do go see this movie bring a pillow or a girlfriendboyfriend to keep you occupied through out
Awful.  ,,awful
I don't think I've ever gone to a movie and disliked it as much.  ,,i dont think ive ever gone to a movie and disliked it as much
It was a good thing that the tickets only cost five dollars because I would be mad if I'd have paid $7.50 to see this crap.  ,,it was a good thing that the tickets only cost five dollars because i would be mad if id have paid  to see this crap
NOBODY identifies with these characters because they're all cardboard cutouts and stereotypes (or predictably reverse-stereotypes).  ,,nobody identifies with these characters because theyre all cardboard cutouts and stereotypes or predictably reversestereotypes
"This is a bad film, with bad writing, and good actors....an ugly cartoon crafted by Paul Haggis for people who can't handle anything but the bold strokes in storytelling....a picture painted with crayons.  ",,this is a bad film with bad writing and good actorsan ugly cartoon crafted by paul haggis for people who cant handle anything but the bold strokes in storytellinga picture painted with crayons
"Crash is a depressing little nothing, that provokes emotion, but teaches you nothing if you already know racism and prejudice are bad things.  ",,crash is a depressing little nothing that provokes emotion but teaches you nothing if you already know racism and prejudice are bad things
"Still, I do like this movie for it's empowerment of women; there's not enough movies out there like this one.  ",,still i do like this movie for its empowerment of women theres not enough movies out there like this one
Your brain will attempt to shut-down as part of a primal impulse of self-preservation.  ,,your brain will attempt to shutdown as part of a primal impulse of selfpreservation
I was left shattered from the experience of watching this 'film' and I took a good two hours to fully recover.  ,,i was left shattered from the experience of watching this film and i took a good two hours to fully recover
This movie now joins Revenge of the Boogeyman and Zombiez as part of the hellish trinity of horror films.  ,,this movie now joins revenge of the boogeyman and zombiez as part of the hellish trinity of horror films
I certainly do not mean this distinction in a good way.  ,,i certainly do not mean this distinction in a good way
I mean this in a terrible way.  ,,i mean this in a terrible way
This film has no redeeming features.  ,,this film has no redeeming features
Everything is appalling.  ,,everything is appalling
"Artless camera-work endlessly presents us with the ugliest setting imaginable, i.e.  ",,artless camerawork endlessly presents us with the ugliest setting imaginable ie
The story is beyond stupid.  ,,the story is beyond stupid
The script iswas there a script?  ,,the script iswas there a script
The kids are annoying.  ,,the kids are annoying
The lead man is charisma-free.  ,,the lead man is charismafree
"Utterly without merit on any level, this is akin to torture.  ",,utterly without merit on any level this is akin to torture
I'll even say it again  this is torture.  ,,ill even say it again  this is torture
Maybe there would be a reasonable explanation for this atrocity.  ,,maybe there would be a reasonable explanation for this atrocity
Not a pleasant voyage of self-discovery.  ,,not a pleasant voyage of selfdiscovery
Highly unrecommended.  ,,highly unrecommended
"If this premise sound stupid, that's because it is.  ",,if this premise sound stupid thats because it is
"Yes, it's that bad.  ",,yes its that bad
Nothing at all to recommend.  ,,nothing at all to recommend
An excellent performance from Ms.  ,,an excellent performance from ms
"Garbo, who showed right off the bat that her talents could carry over from the silent era (I wanted to see some of her silent work, but Netflix doesn't seem to be stocking them.  ",,garbo who showed right off the bat that her talents could carry over from the silent era i wanted to see some of her silent work but netflix doesnt seem to be stocking them
It's also great to see that renowned silent screenwriter Frances Marion hasn't missed a step going from silent to sound.  ,,its also great to see that renowned silent screenwriter frances marion hasnt missed a step going from silent to sound
"This movie suffered because of the writing, it needed more suspense.  ",,this movie suffered because of the writing it needed more suspense
There were too many close ups.  ,,there were too many close ups
But other than that the movie seemed to drag and the heroes didn't really work for their freedom.  ,,but other than that the movie seemed to drag and the heroes didnt really work for their freedom
But this movie is definitely a below average rent.  ,,but this movie is definitely a below average rent
"""You'll love it!  ",,youll love it
This movie is BAD.  ,,this movie is bad
So bad.  ,,so bad
The film is way too long.  ,,the film is way too long
This is definitely one of the bad ones.  ,,this is definitely one of the bad ones
The movie I received was a great quality film for it's age.  ,,the movie i received was a great quality film for its age
John Wayne did an incredible job for being so young in the movie industry.  ,,john wayne did an incredible job for being so young in the movie industry
His on screen presence shined thought even though there were other senior actors on the screen with him.  ,,his on screen presence shined thought even though there were other senior actors on the screen with him
I think that it is a must see older John Wayne film.  ,,i think that it is a must see older john wayne film
I really don't see how anyone could enjoy this movie.  ,,i really dont see how anyone could enjoy this movie
I don't think I've ever seen a movie half as boring as this self-indulgent piece of junk.  ,,i dont think ive ever seen a movie half as boring as this selfindulgent piece of junk
"It probably would have been better if the director hadn't spent most of the movie showcasing his own art work, which really isn't that noteworthy.  ",,it probably would have been better if the director hadnt spent most of the movie showcasing his own art work which really isnt that noteworthy
"Another thing I didn't really like is when a character got punched in the face, a gallon of blood would spew forth soon after.  ",,another thing i didnt really like is when a character got punched in the face a gallon of blood would spew forth soon after
Jamie Foxx absolutely IS Ray Charles.  ,,jamie foxx absolutely is ray charles
His performance is simply genius.  ,,his performance is simply genius
"He owns the film, just as Spacek owned ""Coal Miner's Daughter"" and Quaid owned ""Great Balls of Fire.  ",,he owns the film just as spacek owned coal miners daughter and quaid owned great balls of fire
""" In fact, it's hard to remember that the part of Ray Charles is being acted, and not played by the man himself.  ",,in fact its hard to remember that the part of ray charles is being acted and not played by the man himself
Ray Charles is legendary.  ,,ray charles is legendary
"Ray Charles' life provided excellent biographical material for the film, which goes well beyond being just another movie about a musician.  ",,ray charles life provided excellent biographical material for the film which goes well beyond being just another movie about a musician
Hitchcock is a great director.  ,,hitchcock is a great director
Ironically I mostly find his films a total waste of time to watch.  ,,ironically i mostly find his films a total waste of time to watch
"Secondly, Hitchcock pretty much perfected the thriller and chase movie.  ",,secondly hitchcock pretty much perfected the thriller and chase movie
It's this pandering to the audience that sabotages most of his films.  ,,its this pandering to the audience that sabotages most of his films
Hence the whole story lacks a certain energy.  ,,hence the whole story lacks a certain energy
"The plot simply rumbles on like a machine, desperately depending on the addition of new scenes.  ",,the plot simply rumbles on like a machine desperately depending on the addition of new scenes
There are the usual Hitchcock logic flaws.  ,,there are the usual hitchcock logic flaws
Mishima is extremely uninteresting.  ,,mishima is extremely uninteresting
"This is a chilly, unremarkable movie about an author living/working in a chilly abstruse culture.  ",,this is a chilly unremarkable movie about an author livingworking in a chilly abstruse culture
The flat reenactments don't hold your attention because they are emotionally adrift and stagy.  ,,the flat reenactments dont hold your attention because they are emotionally adrift and stagy
"And the rest of it just sits there being awful... with soldiers singing songs about the masculinity they pledge themselves to, hairsplitting about purity, the admiration of swords, etc.  ",,and the rest of it just sits there being awful with soldiers singing songs about the masculinity they pledge themselves to hairsplitting about purity the admiration of swords etc
"He can bore you to pieces, and kill the momentum of a movie, quicker than anyone else.  ",,he can bore you to pieces and kill the momentum of a movie quicker than anyone else
"Schrader has made a resume full of lousy, amateurish films.  ",,schrader has made a resume full of lousy amateurish films
"When I first watched this movie, in the 80s, I loved it.  ",,when i first watched this movie in the s i loved it
"I was totally fascinated by the music, the dancing... everything.  ",,i was totally fascinated by the music the dancing everything
"However, I recently watched the whole thing again on DVD, and I was completely struck by how extremely stupid the storyline was - how it contained holes, inconsistencies and - frankly - a whole lot of crap - and how horrid the dancing was.  ",,however i recently watched the whole thing again on dvd and i was completely struck by how extremely stupid the storyline was  how it contained holes inconsistencies and  frankly  a whole lot of crap  and how horrid the dancing was
"I mean, in a realistic world, she would NEVER have gotten into that ballet repertory... The whole thing was quite pathetic.  ",,i mean in a realistic world she would never have gotten into that ballet repertory the whole thing was quite pathetic
The character developments also lacked in depth.  ,,the character developments also lacked in depth
"Woa, talk about awful.  ",,woa talk about awful
Do not waste your time.  ,,do not waste your time
It was just too horrible.  ,,it was just too horrible
"The worst, sappiest dialogue... I could go on and on.  ",,the worst sappiest dialogue i could go on and on
But what really made it unwatchable was the direction.  ,,but what really made it unwatchable was the direction
The poor actors.  ,,the poor actors
You can't even tell if they have any talent because they not only have pathetic lines to speak but the director gave them no action.  ,,you cant even tell if they have any talent because they not only have pathetic lines to speak but the director gave them no action
If you check the director's filmography on this site you will see why this film didn't have a chance.  ,,if you check the directors filmography on this site you will see why this film didnt have a chance
This would not even be good as a made for TV flick.  ,,this would not even be good as a made for tv flick
"If good intentions made a film great, then this film might be one of the greatest films ever made.  ",,if good intentions made a film great then this film might be one of the greatest films ever made
"The film has great actors, a master director, a significant theme--at least a would-be significant theme, undertone of fifties existential world-weariness, aerial scenes that ought to have thrilled both senses and imagination, and characters about which one might deeply care.  ",,the film has great actors a master director a significant themeat least a wouldbe significant theme undertone of fifties existential worldweariness aerial scenes that ought to have thrilled both senses and imagination and characters about which one might deeply care
"Regrettably, the film fails.  ",,regrettably the film fails
"The movie lacks visual interest, drama, expression of feeling, and celebration of the very patriotism that underlines the narrative.  ",,the movie lacks visual interest drama expression of feeling and celebration of the very patriotism that underlines the narrative
No actress has been worse used that June Allison in this movie.  ,,no actress has been worse used that june allison in this movie
"Yet, I enjoy watching it.  ",,yet i enjoy watching it
"Unfortunately, this is a bad movie that is just plain bad.  ",,unfortunately this is a bad movie that is just plain bad
"Bad script, bad direction and horrible acting make this one plain bad!  ",,bad script bad direction and horrible acting make this one plain bad
The dialogue sucked.  ,,the dialogue sucked
The cinematography-if it can be called that-sucked.  ,,the cinematographyif it can be called thatsucked
The soundtrack sucked.  ,,the soundtrack sucked
The acting sucked.  ,,the acting sucked
The concert sequences just sucked.  ,,the concert sequences just sucked
That was nice.  ,,that was nice
That was funny.  ,,that was funny
It was so funny.  ,,it was so funny
"Overall, this movie was cheap trash.  ",,overall this movie was cheap trash
"But this movie is not funny, considering the ridiculousness of it.  ",,but this movie is not funny considering the ridiculousness of it
I came out of it feeling angry.  ,,i came out of it feeling angry
"***SPOILERS*** Whatever else can (or can't) be said about it, SURFACE is superbly crafted.  ",,spoilers whatever else can or cant be said about it surface is superbly crafted
The cinematography is simply stunning (to say the least) and the fx are nothing if not state-of-the-art.  ,,the cinematography is simply stunning to say the least and the fx are nothing if not stateoftheart
"Conceptually, the show offers a little bit of everything- and for just about everybody (parents, kids, fantasy and/or fx fans).  ",,conceptually the show offers a little bit of everything and for just about everybody parents kids fantasy andor fx fans
"And there wasn't a single sour note struck acting-wise, either; some surprisingly solid casting, here.  ",,and there wasnt a single sour note struck actingwise either some surprisingly solid casting here
"All things considered, a job very well done.  ",,all things considered a job very well done
Thanks good a movie like this was done and released.  ,,thanks good a movie like this was done and released
"One of the best mexican movies ever!, and one of the less understood, even by mexican themselves, no matter how identified the should have felt with it.  ",,one of the best mexican movies ever and one of the less understood even by mexican themselves no matter how identified the should have felt with it
"It ranks highly as a great noir-crime-drama, incredible performances by Belmondo and Lino Ventura.  ",,it ranks highly as a great noircrimedrama incredible performances by belmondo and lino ventura
"The attention given to every character, and complex psychological portrayals, detailing loyalty, treachery, love, and hope, are tremendous.  ",,the attention given to every character and complex psychological portrayals detailing loyalty treachery love and hope are tremendous
"It is an excellent drama, an excellent thriller, and an excellent film.  ",,it is an excellent drama an excellent thriller and an excellent film
Up there with the best of Melville.  ,,up there with the best of melville
Everything about this film is simply incredible.  ,,everything about this film is simply incredible
You truly take this journey through the eyes and soul of a child.  ,,you truly take this journey through the eyes and soul of a child
BLACK WATER is a thriller that manages to completely transcend it's limitations (it's an indie flick) by continually subverting expectations to emerge as an intense experience.  ,,black water is a thriller that manages to completely transcend its limitations its an indie flick by continually subverting expectations to emerge as an intense experience
"The performances are real and gripping, the crocdodile is extremely well done, indeed if the Black Water website is to be believed that's because they used real crocs and the swamp location is fabulous.  ",,the performances are real and gripping the crocdodile is extremely well done indeed if the black water website is to be believed thats because they used real crocs and the swamp location is fabulous
I thoroughly enjoyed it when Christopher Eccleston took control of the TARDIS and the continuation of the series.  ,,i thoroughly enjoyed it when christopher eccleston took control of the tardis and the continuation of the series
I'm not sure what he was trying to do with this film.  ,,im not sure what he was trying to do with this film
If it was to turn my good day feeling into a night of disturbing memories than I guess he succeeded.  ,,if it was to turn my good day feeling into a night of disturbing memories than i guess he succeeded
There is a lot of beautiful places.  ,,there is a lot of beautiful places
"It was forced, like everything in this movie.  ",,it was forced like everything in this movie
"Again, lame.  ",,again lame
Here's where the movie really pi**ed me off.  ,,heres where the movie really pied me off
And don't even get me started on the jerky camerawork.  ,,and dont even get me started on the jerky camerawork
When I saw it in the theater I thought I was going to be sick.  ,,when i saw it in the theater i thought i was going to be sick
Summary: The witticisms weren't witty.  ,,summary the witticisms werent witty
"The plot - well, I said I'd let that one go.  ",,the plot  well i said id let that one go
The acting was bad.  ,,the acting was bad
Really bad.  ,,really bad
"Even Billy Bob couldn't rise above the script, which was worse.  ",,even billy bob couldnt rise above the script which was worse
"Camerawork - again, bad.  ",,camerawork  again bad
Rating: 1 out of 10.  ,,rating  out of
An AMAZING finale to possibly the BEST trilogy of all time!  ,,an amazing finale to possibly the best trilogy of all time
Kieslowski never ceases to amaze me.  ,,kieslowski never ceases to amaze me
"He is one of my favourite directors, and one of the most talented directors in the history of cinema.  ",,he is one of my favourite directors and one of the most talented directors in the history of cinema
"His use of the colours of the French flag in the three films was nothing short of incredible, every shot, every scene was like a work of art.  ",,his use of the colours of the french flag in the three films was nothing short of incredible every shot every scene was like a work of art
Three of the most visually appealing movies i've ever seen.  ,,three of the most visually appealing movies ive ever seen
And his subtle connections between the three films are awesome.  ,,and his subtle connections between the three films are awesome
"I have to mention this and it is a huge SPOILER, i loved the ending, how all the characters of the three films were the remaining survivors of the ferry disaster, with Valentine and the young judge together, and the old man watching it on her TV, solidifying his happiness over the suffering which he dealt with for those many years.  ",,i have to mention this and it is a huge spoiler i loved the ending how all the characters of the three films were the remaining survivors of the ferry disaster with valentine and the young judge together and the old man watching it on her tv solidifying his happiness over the suffering which he dealt with for those many years
"I couldn't think of a better way to end the film, but a smile on my face, great way to wrap up an amazing film and trilogy!  ",,i couldnt think of a better way to end the film but a smile on my face great way to wrap up an amazing film and trilogy
"I recommend this for EVERYONE who loves film, movies, anything...A Work of Art!  ",,i recommend this for everyone who loves film movies anythinga work of art
10 out of 10 for both the movie and trilogy.  ,,out of  for both the movie and trilogy
I literally vomited while watching this film.  ,,i literally vomited while watching this film
I think i was one of the people who found this another one of roth's pearls.  ,,i think i was one of the people who found this another one of roths pearls
"his performance, as awarded, was stunning.  ",,his performance as awarded was stunning
"the story which was told so eloquently by Francis ford Coppola 25 years earlier, really unfolds gradually and leaves room for the characters to develop.  ",,the story which was told so eloquently by francis ford coppola  years earlier really unfolds gradually and leaves room for the characters to develop
In a most wonderful location lies a story of contrast.  ,,in a most wonderful location lies a story of contrast
All in all a beautiful directed film from Nicola's roeg wih a sublime cast.  ,,all in all a beautiful directed film from nicolas roeg wih a sublime cast
I'm translating movies for a living and this is the first movie in my 5-year working experience that I found offensive to my intelligence.  ,,im translating movies for a living and this is the first movie in my year working experience that i found offensive to my intelligence
"But when someone strives for greatness and poetry, but delivers a muddled (and often ridiculous) story, a bunch of disparate scenes, pretentious dialogue... Then you get the worst kind of a movie that some other reviewer very accurately defined as ""pretentious crap"".  ",,but when someone strives for greatness and poetry but delivers a muddled and often ridiculous story a bunch of disparate scenes pretentious dialogue then you get the worst kind of a movie that some other reviewer very accurately defined as pretentious crap
"To those who find this movie intelligent or even masterful, I can only say - it's your intelligence and your imagination you obviously used to try and make some sense of this pitiful attempt (it's in our human nature to try and make sense of things) .  ",,to those who find this movie intelligent or even masterful i can only say  its your intelligence and your imagination you obviously used to try and make some sense of this pitiful attempt its in our human nature to try and make sense of things
"One more thing: I can tolerate political incorrectness very well, I'm all for artistic freedom and suspension of disbelief, but the Slavic female character was just too much.  ",,one more thing i can tolerate political incorrectness very well im all for artistic freedom and suspension of disbelief but the slavic female character was just too much
This is such a fun and funny movie.  ,,this is such a fun and funny movie
Highly entertaining at all angles.  ,,highly entertaining at all angles
"It features an outlandish array of memorable, psychotic but lovable nuts.  ",,it features an outlandish array of memorable psychotic but lovable nuts
"So for our enjoyment we get to see them run around, play games, and be dangerous.  ",,so for our enjoyment we get to see them run around play games and be dangerous
It even has its sweet moments.  ,,it even has its sweet moments
The telephone repair man was really funny and his reactions to the nuts and bitchy boss were truly genuine.  ,,the telephone repair man was really funny and his reactions to the nuts and bitchy boss were truly genuine
All the characters in this film are tremendously well played.  ,,all the characters in this film are tremendously well played
And I really did find them funny.  ,,and i really did find them funny
This is actually a very smart movie.  ,,this is actually a very smart movie
There is a brilliant twist ending.  ,,there is a brilliant twist ending
""" I love it.  ",,i love it
"The ending is so, SO perfect... you'll shed a tear.  ",,the ending is so so perfect youll shed a tear
I am so thrilled after seeing a movie like this.  ,,i am so thrilled after seeing a movie like this
I will never forget it now.  ,,i will never forget it now
It is not just a cult... it is a cult CLASSIC.  ,,it is not just a cult it is a cult classic
Which has more depth and character than the man underneath it.  ,,which has more depth and character than the man underneath it
The Malta settings are as dry and as barren as the dialogue.  ,,the malta settings are as dry and as barren as the dialogue
This movie is terrible.  ,,this movie is terrible
"The hockey scenes are terrible, defensemen playing like they're 5 years old, goalies diving at shots that are 10 feet wide of the net, etc.  ",,the hockey scenes are terrible defensemen playing like theyre  years old goalies diving at shots that are  feet wide of the net etc
"For those that haven't seen it, don't waste your time!  ",,for those that havent seen it dont waste your time
To call this movie a drama is ridiculous!  ,,to call this movie a drama is ridiculous
Started watching this but didn't believe in any of the characters.  ,,started watching this but didnt believe in any of the characters
In particular the relationship between the bakery assistant and the waitress just didn't work for me at all.  ,,in particular the relationship between the bakery assistant and the waitress just didnt work for me at all
It was a very superficial movie and it gave me the feeling that I was watching play rather than a film.  ,,it was a very superficial movie and it gave me the feeling that i was watching play rather than a film
The characters were very 'stagey' and the storyline was a lot like a stage farce.  ,,the characters were very stagey and the storyline was a lot like a stage farce
By the time the pyromaniac waylaid the assistant I was bored and didn't care what happened next and so I switched off.  ,,by the time the pyromaniac waylaid the assistant i was bored and didnt care what happened next and so i switched off
Glad I didn't pay to see it.  ,,glad i didnt pay to see it
Didn't laugh or even smile once.  ,,didnt laugh or even smile once
But it wasn't anything at all just one big yawn...  ,,but it wasnt anything at all just one big yawn
It is a really good show to watch.  ,,it is a really good show to watch
It is very educational for children 1 to 8 years old.  ,,it is very educational for children  to  years old
Barney is definitely super DE duper.  ,,barney is definitely super de duper
is pretty funny.  ,,is pretty funny
Babie Bop is very cute.  ,,babie bop is very cute
The kids are very cool too.  ,,the kids are very cool too
""" But ""Storm Trooper"" is not even bad enough to make it to the list of wonderfully terrible movies.  ",,but storm trooper is not even bad enough to make it to the list of wonderfully terrible movies
It's just lame.  ,,its just lame
The guy who said he's had better dialogue with his potted plants has it right.  ,,the guy who said hes had better dialogue with his potted plants has it right
Everything about this movie is stupid.  ,,everything about this movie is stupid
"Even if you love bad movies, do not watch this movie.  ",,even if you love bad movies do not watch this movie
It is shameful.  ,,it is shameful
I would give this television series a 10 plus if i could.  ,,i would give this television series a  plus if i could
"The writers were ""smack on"" and I think the best actors and actresses were a bonus to the show.These characters were so real.  ",,the writers were smack on and i think the best actors and actresses were a bonus to the showthese characters were so real
I must say I have taped most of the episodes and i find myself watching them over and over again.  ,,i must say i have taped most of the episodes and i find myself watching them over and over again
Now you know why I gave it a 10+!  ,,now you know why i gave it a
"I don't know exactly what it is about this movie, but we latched on to this endearing movie and it has become a special part of our family's memories.  ",,i dont know exactly what it is about this movie but we latched on to this endearing movie and it has become a special part of our familys memories
I totally and absolutely recommend this movie to anyone who likes good wholesome family movies because that is exactly what this is.  ,,i totally and absolutely recommend this movie to anyone who likes good wholesome family movies because that is exactly what this is
The things that the four kids get themselves into is absolutely hilarious to watch.  ,,the things that the four kids get themselves into is absolutely hilarious to watch
This is one of the best movies out there that shows such strong sibling bond for each other.  ,,this is one of the best movies out there that shows such strong sibling bond for each other
"Much more interesting, more action, more suspense, and less of the unneeded controversy.  ",,much more interesting more action more suspense and less of the unneeded controversy
Everything from acting to cinematography was solid.  ,,everything from acting to cinematography was solid
